,Question,Marks,type
0,Recall the term “Entrepreneur”.,2,Descriptive
1,Differentiate between Entrepreneur and Intrapreneur.,2,Comparison
2,Contrast on statement “Creativity leads to innovation”.,2,Comparison
3,Explain the concept of sustainability with respect to the growth rate of an organization.,2,Descriptive
4,Interpret the term appraisal in reference to the project management.,2,Descriptive
5,Identify the significant role of project manager.,2,Descriptive
6,Enlist the different sources of finance.,2,Comparison
7,Restate the term “Crashing”.,2,Descriptive
8,Demonstrate your views on “Does social entrepreneur makes money”.,2,Descriptive
9,Illustrate the concept of social venture.,2,Descriptive
10,Discuss the classification of entrepreneurs.,7,Descriptive
11,Outline the elements for sustainable enterprise model.,7,Descriptive
12,Illustrate the term environmental appraisal. Demonstrate the main steps for conducting environmental impact assessment.,7,Descriptive
13,Discuss Project risk management. Illustrate the different risks involved in project evaluation.,7,Descriptive
14,Examine the concept of sustainability in social innovation,7,Descriptive
15,Illustrate the term Entrepreneurial competency. Outline the significant steps involved in,7,Descriptive
16,Discuss the factors affecting entrepreneurial development.,7,Descriptive
17,Formulate the different types of skills set required to run an enterprise.,7,Descriptive
18,Analyze the generation of a business idea. Outline the major aspects to start your own business.,7,Descriptive
19,Justify the significance of project life cycle in completion of project. Highlights all stages and outcomes.,7,Descriptive
20,Illustrate the preparation of detailed project report.,7,Descriptive
21,Analyze the concept of Demand forecasting. Classify the techniques for demand forecasting.,7,Descriptive
22,Outline the different types of cost incurred on any project. Explain the variation of these costs with the duration of the project.,7,Descriptive
23,Derive the impact of social entrepreneurship on society. Discuss about any three well-,7,Descriptive
24,Formulate the different available opportunities in the field of social entrepreneurship.,7,Descriptive
25,(a) What are the similarities between entrepreneur and intrapreneur?,2,Descriptive
26,(b) Differentiate between entrepreneur and manager.,2,Descriptive
27,(c) How do you create value creation?,2,Descriptive
28,(d) What is enterprise sustainability?,2,Descriptive
29,(e) What is term ‘Foresight’ in case of an entrepreneur?,2,Descriptive
30,(f) Differentiate appraisal from evaluation.,2,Descriptive
31,(g) What is innovation?,2,Descriptive
32,(h) Discuss the important personal barriers to entrepreneurship.,2,Descriptive
33,(i) What is a business plan?,2,Descriptive
34,(j) What is social cost Benefit analysis?,2,Descriptive
35,(a) What do you mean by entrepreneurial motivation explain McClelland’s achievement,7,Descriptive
36,(b) What is the importance of identifying business opportunities?,7,Descriptive
37,(c) Explain the need and importance of project management.,7,Descriptive
38,(d) What are working capital requirements?,7,Descriptive
39,(e) What are the various models of the social entrepreneurship process?,7,Descriptive
40,(a)  Discuss the objectives of entrepreneurial development programs?,7,Descriptive
41,(b)  Explain the factors affecting entrepreneurial development.,7,Descriptive
42,(a)  What is the concept of innovation? Discuss its importance.,7,Descriptive
43,(b)  What is the importance of idea generation in entrepreneurship process? Explain.,7,Descriptive
44,(a) What does a project manager do? Discuss the role and responsibilities.,7,Descriptive
45,(b) Explain the various stages of project life-cycle.,7,Descriptive
46,(a) Elaborate the various sources of funds.,7,Descriptive
47,(b) Explain the five broad phases of capital budgeting.,7,Descriptive
48,(a) What is social entrepreneurship framework?,7,Descriptive
49,(b) Explain Risk Management in Social Enterprises.  ],7,Descriptive
50,Define the term ‘intrepreneur’. 2 1,2,Descriptive
51,State Entrepreneurial Traits. 2 1,2,Descriptive
52,Write any two roles of Innovation in developing Entrepreneurship. 2 2,2,Descriptive
53,What do you understand by Product Innovation? 2 2,2,Descriptive
54,Define Environmental Appraisal. 2 3,2,Descriptive
55,What is Forecasting?  2 3,2,Descriptive
56,What is Risk & Uncertainty in Project Evaluation? 2 4,2,Descriptive
57,Write about Cash Flow Statements 2 4,2,Descriptive
58,Define Social Ventures 2 5,2,Descriptive
59,What do mean by Social Innovations? 2 5,2,Descriptive
60,Describe entrepreneurial competencies and traits. Give suitable examples of traits in a successful entrepreneur.,7,Descriptive
61,How do you find business opportunities in present market? What are the,7,Descriptive
62,Explain project management as conversion process. Discuss the various constraints and mechanism.,7,Descriptive
63,What are the elements of cost estimation in project management? Also discuss its importance.,7,Descriptive
64,Why should a legal framework for social entrepreneurship? Give your views. 10 5,7,Descriptive
65,What do you understand by motivation? What are the motivating factors that,7,Descriptive
